id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.affiliation[-],dc.contributor.author,dc.contributor.author[-],dc.contributor.author[],dc.contributor.author[fr],dc.contributor.author[none],dc.date.issued,dc.date.issued[-],dc.date.issued[],dc.date.issued[en_US],dc.date.issued[fr],dc.date.issued[fr_FR],dc.date.issued[none],dc.description.abstract[en],dc.description.abstract[en_US],dc.description.abstract[fr],dc.description.abstract[fr_FR],dc.description[-],dc.description[en],dc.description[en_US],dc.description[fr],dc.description[fr_FR],dc.format.extent,dc.format.extent[],dc.format.mimetype,dc.format.mimetype[],dc.identifier.citation[-],dc.identifier.citation[],dc.identifier.citation[en],dc.identifier.citation[fr],dc.identifier.citation[none],dc.identifier.doi,dc.identifier.doi[],dc.identifier.issn,dc.identifier.issn[-],dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[-],dc.language.iso[],dc.language.iso[en],dc.language.iso[en_US],dc.language.iso[fr],dc.language.iso[fr_FR],dc.publisher[],dc.publisher[en],dc.publisher[en_US],dc.publisher[fr],dc.publisher[fr_FR],dc.relation.ispartof[-],dc.relation.ispartof[],dc.relation.ispartof[en],dc.relation.ispartof[en_US],dc.relation.ispartof[fr],dc.relation.ispartofseries,dc.relation.ispartofseries[-],dc.relation.ispartofseries[],dc.rights,dc.rights[-],dc.rights[],dc.source,dc.source[-],dc.source[],dc.source[en_US],dc.source[fr],dc.source[fr_FR],dc.source[none],dc.subject.other[fr],dc.subject[],dc.subject[en],dc.subject[fr],dc.title.alternative[en],dc.title[en],dc.title[en_US],dc.title[fr],dc.title[fr_FR],dc.type[-],dc.type[],dc.type[en],dc.type[en_US],dc.type[fr],dc.type[fr_FR]
48991,2042/53317,La Météorologie,,,,,,,"Morin, René",,,,,,,1993,,,,,,,,,,,,,,,,,,"Morin, René ; Editorial, La Météorologie, 1993, N° 1 ; p. 3",https://doi.org/10.4267/2042/53326,,2107-0830,,,http://hdl.handle.net/2042/53326,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Editorial,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 3",,,,observation météorologique||radar||réseau de télécommunication||informatique,,,,Editorial,,,,,,,
48992,2042/53317,La Météorologie,,,,,,,"Lebeau, André",,,,,,,1993,,,,,,,,,,,,,,,,,,"Lebeau, André ; Editorial, La Météorologie, 1993, N° 1 ; p. 4",https://doi.org/10.4267/2042/53327,,2107-0830,,,http://hdl.handle.net/2042/53327,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Editorial,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 4",,,,science||atmosphère||météorologie pratique,,,,Editorial,,,,,,,
48993,2042/53317,La Météorologie,,,,,,,"Imbert, Bertrand C.",,,,,,,1993,,,,,,,,,,,,,,,,,,"Imbert, Bertrand C. ; La remise du prix Prudhomme 1992, La Météorologie, 1993, N° 1 ; p. 5-7",https://doi.org/10.4267/2042/53328,,2107-0830,,,http://hdl.handle.net/2042/53328,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : La vie de la SMF,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 5-7",,,,météorologie||Antarctique||biographie||climatologie||région Limousin,,,,La remise du prix Prudhomme 1992,,,,,,,
48994,2042/53317,La Météorologie,,,,,,,"Cailliez, Vincent||Perarnaud, Victorine",,,,,,,1993,,,"Les données climatologiques anciennes sont actuellement encore très peu exploitées et de qualité douteuse. On utilise ici l'outil statistique pour vérifier la cohérence spatiale et temporelle des données anciennes afin de les adjoindre à des données récentes. Un procédé d'interpolation permet de reconstituer des valeurs manquantes et la méthode des doubles cumuls permet d'homogénéiser les séries. Enfin, la régression linéaire simple et l'analyse périodale permettent de séparer l'aspect organisé de l'aspect aléatoire des séries chronologiques. Ces méthodes sont appliquées sur la période 1880-1988 aux hauteurs de précipitation et aux températures moyennes à l'échelle mensuelle sur certains postes du Limousin. Elles permettent de dresser une climatologie séculaire et de mettre en évidence une évolution significative du climat du Limousin",,,,,,,,,,,,,,,"Cailliez, Vincent ; Perarnaud, Victorine ; Evolution du climat en Limousin depuis 1880 : 
Précipitations et températures moyennes mensuelles
, La Météorologie, 1993, N° 1 ; p. 8-15",https://doi.org/10.4267/2042/53329,,2107-0830,,,http://hdl.handle.net/2042/53329,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Climatologie,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 8-15",,,,climatologie||température||précipitations||analyse des séries temporelles||régression simple||homogénéisation des séries||hauteur d'eau,,,,"Evolution du climat en Limousin depuis 1880 : 
Précipitations et températures moyennes mensuelles",,,,,Article||Article évalué par les pairs / peer-reviewed article,,
48995,2042/53317,La Météorologie,,,,,,,"Rochas, Michel J.",,,,,,,1993,,,,,,,,,,,,,,,,,,"Rochas, Michel J. ; Les principes de la mécanique et les équations de la météorologie, La Météorologie, 1993, N° 1 ; p. 16-21",https://doi.org/10.4267/2042/53330,,2107-0830,,,http://hdl.handle.net/2042/53330,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Météorologie dynamique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 16-21",,,,mécanique||force de Coriolis||physique de l'atmosphère||dynamique||force d'inertie||repère galiléen,,,,Les principes de la mécanique et les équations de la météorologie,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
48996,2042/53317,La Météorologie,,,,,,,"Cariolle, Daniel",,,,,,,1993,,,,,,,,,,,,,,,,,,"Cariolle, Daniel ; L'évolution de la couche d'ozone stratosphérique
, La Météorologie, 1993, N° 1 ; p. 22-27",https://doi.org/10.4267/2042/53331,,2107-0830,,,,http://hdl.handle.net/2042/53331,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Physico-Chimie,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 22-27",,,,O3||stratosphère||chimie de l'atmosphère||rayonnement ultraviolet||trou d'ozone||Antarctique||vortex||température||pollution atmosphérique||aérosol||troposphère||ozone||ozone stratosphérique,,,,L'évolution de la couche d'ozone stratosphérique,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
48997,2042/53317,La Météorologie,,,,,,,"Janicot, Serge||Fontaine, Bernard",,,,,,,1993,"This paper is a review of the last 25 years of research concerning the recent interannual variability of West African rainfall. The main paleo and present ciimatoiogical topics of the region are first exposed, then we describe the different investigation ways which have appeared successively or at the same time, and we focus on their interactions and their time evolutions. Finally we present an updated synthesis of Knowledge and gaps in order to mention some usefui research ways for the near future.",,"Cet article fait le bilan des 25 dernières années de recherches concernant la variabilité interannuelle récente des précipitations en Afrique de l'Ouest. Après avoir rappelé les éléments fondamentaux des paléo-climats et de la climatologie actuelle de cette région, on décrit les différentes voies d'investigation qui se sont présentées successivement ou parallèlement, en insistant sur leurs interactions et leurs évolutions dans le temps. On présente enfin une synthèse actualisée des connaissances et des lacunes tout en mentionnant les directions de recherche qu'il serait souhaitable de privilégier dans un avenir proche.",,,,,,,,,,,,,,,"Janicot, Serge ; Fontaine, Bernard ; L'évolution des idées sur la variabilité interannuelle récente du cycle de l'eau atmosphérique en Afrique de l'ouest, La Météorologie, 1993, N° 1 ; p. 28-53",https://doi.org/10.4267/2042/53332,,2107-0830,,,,http://hdl.handle.net/2042/53332,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Climatologie,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 28-53",,,,climatologie||variabilité interannuelle||précipitations||climatologie historique||données climatologiques||Afrique de l'Ouest,,,,L'évolution des idées sur la variabilité inter annuelle récente du cycle de l'eau atmosphérique en Afrique de l'Ouest,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
48998,2042/53317,La Météorologie,,,,,,,"Staszak, Jean-François",,,,,,,1993,"The first pre-socratics (the Miletian) were greatly interested in meteors. Their global method deals with substituting the mythological explanations of the world by rational explanations. Doing so, they built tbe basis for meteorological science. However, as each pre-socratic explained the world by his own particular principle (their cosmologies are monistic), each had his own meteorological theory, which thus belong to a pre-science, more rationalistic
than empiric. In fact, the «greek miracle» is a graduai transition form faith to reason.",,"Les premiers présocratiques (les Milésiens) montrent un grand souci des météores. Leur démarche d'ensemble consiste à fournir, en remplacement des explications mythologiques du monde, des explications rationnelles. Ainsi, ils posent les fondements de la science météorologique. Mais comme chacun explique le Monde par un principe qui lui est propre (il s'agit de cosmologies monistes), chacun développe ses propre théories météorologiques. Il s'agit en fait d'une préscience, davantage rationaliste qu'empirique : plus que d'un «miracle grec», il faut parler d'un passage progressif de la foi à la raison.",,,,,,,,,,,,,,,"Staszak, Jean-François  ; Naissance de la météorologie : météores et cosmogonies présocratiques
, La Météorologie, 1993, N° 1 ; p. 54-60",https://doi.org/10.4267/2042/53333,,2107-0830,,,http://hdl.handle.net/2042/53333,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Histoire,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 54-60",,,,histoire de la météorologie||épistémologie||cosmologie||Grèce antique,,,,Naissance de la météorologie : météores et cosmogonies présocratiques,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
48999,2042/53317,La Météorologie,,,,,,,"Eiselt, Frédéric||Bergot, Thierry||Bénard, Pierre",,,,,,,1993,,,,,,,,,,,,,,,,,,"Eiselt, Frédéric ; Bergot, Thierry ; Bénard, Pierre  ; Etude de la qualité de la prévision des brouillards denses sur la région Nord-Pas de Calais 
, La Météorologie, 1993, N° 1 ; p. 61-71",https://doi.org/10.4267/2042/53334,,2107-0830,,,,http://hdl.handle.net/2042/53334,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Prévision,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 61-71",,,,prévision||Pas de Calais||brouillard||qualité||analyse statistique||prévision numérique||analyse météorologique||modèle d'adaptation dynamique||modèle à une dimension||couche limite nocturne,,,,Etude de la qualité de la prévision des brouillards denses sur la région Nord-Pas de Calais,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
49000,2042/53317,La Météorologie,,,,,,,"Benech, B.||Brunei, H.||Jacq, V.||Payen, M.||Rivrain, J.-C.||Santurette, P.",,,,,,,1993,,,,,,,,,,,,,,,,,,"Benech, B. ; Brunei, H. ; Jacq,  V. ; Payen, M. ; Rivrain, J.-C. ; Santurette, P. ; La catastrophe de Vaison la Romaine et les violentes précipitations de septembre 1992 : aspects météorologiques 
, La Météorologie, 1993, N° 1 ; p. 72-90",https://doi.org/10.4267/2042/53335,,2107-0830,,,,http://hdl.handle.net/2042/53335,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Etudes de cas,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 72-90",,,,accident climatique||catastrophe naturelle||orage||crue||valeur extrême||Gard - Dép.||dégâts dus aux inondations||impact climatique||crue rapide,,,,La catastrophe de Vaison la Romaine et les violentes précipitations de septembre 1992 : aspects météorologiques,,,,,Article||Article évalué par les pairs / peer-reviewed article,,
