MF_CATEGORIE;DOC_TITRE;DOC_PER_NUMERO;DOC_AN_EDIT;FT_CID;FT_SFNAME;;URL directe du fichier
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°1;1;1953;237423;doc00027275__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237423/doc00027275__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237423/doc00027275__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°2;2;1953;237425;doc00027277__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237425/doc00027277__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237425/doc00027277__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°3;3;1954;237426;doc00027278__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237426/doc00027278__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237426/doc00027278__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°4;4;1954;237427;doc00027279__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237427/doc00027279__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237427/doc00027279__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°5;5;1954;237428;doc00027280__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237428/doc00027280__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237428/doc00027280__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°6;6;1954;237429;doc00027281__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237429/doc00027281__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237429/doc00027281__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°7;7;1955;237430;doc00027282__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237430/doc00027282__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237430/doc00027282__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°8;8;1955;237431;doc00027283__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237431/doc00027283__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237431/doc00027283__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°9;9;1955;237432;doc00027284__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237432/doc00027284__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237432/doc00027284__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°10;10;1955;237433;doc00027285__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237433/doc00027285__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237433/doc00027285__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°11;11;1956;237434;doc00027286__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237434/doc00027286__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237434/doc00027286__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°12;12;1956;237435;doc00027287__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237435/doc00027287__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237435/doc00027287__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°13;13;1956;237436;doc00027288__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237436/doc00027288__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237436/doc00027288__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°14;14;1956;237438;doc00027290__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237438/doc00027290__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237438/doc00027290__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°15;15;1957;237439;doc00027291__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237439/doc00027291__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237439/doc00027291__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°16;16;1957;237441;doc00027293__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237441/doc00027293__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237441/doc00027293__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°17;17;1957;237442;doc00027294__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237442/doc00027294__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237442/doc00027294__PDF.txt
Met Mar;Bulletin trimestriel de liaison des navires sélectionnés. Bulletin n°18;18;1957;237443;doc00027295__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237443/doc00027295__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237443/doc00027295__PDF.txt
